Config,0,1,2,3,4,5,6,7,8,9,10,11
Captain,1,1,0.5,0,1,0.5,0,1,0.5,0,0.5,0
First_Officer,1,1,0.5,0,1,0.5,0,1,0.5,0,0.5,0
Second_Officer,1,1,0.5,0,1,0.5,0,1,0.5,0,0.5,0
Third_Officer,1,1,0.5,0,1,0.5,0,1,0.5,0,0.5,0
Boatswain,1,1,1,1,0,1,1,0,0,0,0,0
A_seaman,3,3,3,3,0,3,3,0,0,0,0,0
O_seaman,2,2,2,2,0,2,2,0,0,0,0,0
Chief_Eng,1,1,1,1,0,1,1,0,0,0,0,0
Second_Eng,1,1,1,1,0,1,1,0,0,0,0,0
Third_Eng,2,2,2,2,0,2,2,0,0,0,0,0
MinaraiA,2,2,2,2,0,2,2,0,0,0,0,0
MinaraiB,2,2,2,2,0,2,2,0,0,0,0,0
Cook,1,1,1,1,1,1,1,1,1,0,1,0
Messman,1,1,1,1,1,1,1,1,1,0,1,0