,year,config,Berth,Navi,Moni,NaviCrew,EngiCrew,Cook,crew_cost,store_cost,maintenance_cost,insurance_cost,general_cost,dock_cost,material_cost,integrate_cost,port_call,fuel_cost_ME,fuel_cost_AE,SCC_Capex,SCC_Opex,SCC_Personal,Mnt_in_port,subsidy
0,2022,Config0,0,0,0,4,14,2,945000.0,289000,289000.0,289000,289000,289000,906667.0,453333.0,600000,1840000,280000,0.0,0.0,0.0,0,0
1,2022,Config1,1,0,0,4,14,2,945000.0,289000,289000.0,289000,289000,289000,906667.0,543999.6,540000,1840000,280000,0.0,0.0,0.0,0,0
2,2022,Config2,0,1,0,4,14,2,760725.0,289000,282300.0,289000,289000,289000,889667.0,543999.6,600000,1840000,280000,23444.5,11180.5,132889.0,0,0
3,2022,Config3,0,2,0,4,14,2,576450.0,289000,275600.0,289000,289000,289000,872667.0,634666.2,600000,1840000,280000,46889.0,22361.0,265778.0,0,0
4,2022,Config4,0,0,1,4,14,2,415800.0,289000,242100.0,289000,289000,289000,872667.0,543999.6,600000,1840000,280000,46889.0,22361.0,265778.0,155250,0
5,2022,Config5,1,1,0,4,14,2,760725.0,289000,282300.0,289000,289000,289000,889667.0,634666.2,540000,1840000,280000,23444.5,11180.5,132889.0,0,0
6,2022,Config6,1,2,0,4,14,2,576450.0,289000,275600.0,289000,289000,289000,872667.0,725332.7999999999,540000,1840000,280000,46889.0,22361.0,265778.0,0,0
7,2022,Config7,1,0,1,4,14,2,415800.0,289000,242100.0,289000,289000,289000,872667.0,634666.2,540000,1840000,280000,46889.0,22361.0,265778.0,155250,0
8,2022,Config8,0,1,1,4,14,2,231525.0,289000,235400.0,289000,289000,289000,855667.0,634666.2,600000,1840000,280000,70333.5,33541.5,398667.0,155250,0
9,2022,Config9,0,2,1,4,14,2,47250.0,289000,228700.0,289000,289000,289000,838667.0,725332.7999999999,600000,1840000,280000,93778.0,44722.0,531556.0,155250,0
10,2022,Config10,1,1,1,4,14,2,231525.0,289000,235400.0,289000,289000,289000,855667.0,725332.7999999999,540000,1840000,280000,70333.5,33541.5,398667.0,155250,0
11,2022,Config11,1,2,1,4,14,2,47250.0,289000,228700.0,289000,289000,289000,838667.0,815999.3999999999,540000,1840000,280000,93778.0,44722.0,531556.0,155250,0
0,2023,Config0,0,0,0,4,14,2,945000.0,289000,289000.0,289000,289000,289000,906667.0,453333.0,600000,1840000,280000,0.0,0.0,0.0,0,0
1,2023,Config1,1,0,0,4,14,2,945000.0,289000,289000.0,289000,289000,289000,906667.0,543999.6,540000,1840000,280000,0.0,0.0,0.0,0,0
2,2023,Config2,0,1,0,4,14,2,760725.0,289000,282300.0,289000,289000,289000,889667.0,543999.6,600000,1840000,280000,23444.5,11180.5,132889.0,0,0
3,2023,Config3,0,2,0,4,14,2,576450.0,289000,275600.0,289000,289000,289000,872667.0,634666.2,600000,1840000,280000,46889.0,22361.0,265778.0,0,0
4,2023,Config4,0,0,1,4,14,2,415800.0,289000,242100.0,289000,289000,289000,872667.0,543999.6,600000,1840000,280000,46889.0,22361.0,265778.0,155250,0
5,2023,Config5,1,1,0,4,14,2,760725.0,289000,282300.0,289000,289000,289000,889667.0,634666.2,540000,1840000,280000,23444.5,11180.5,132889.0,0,0
6,2023,Config6,1,2,0,4,14,2,576450.0,289000,275600.0,289000,289000,289000,872667.0,725332.7999999999,540000,1840000,280000,46889.0,22361.0,265778.0,0,0
7,2023,Config7,1,0,1,4,14,2,415800.0,289000,242100.0,289000,289000,289000,872667.0,634666.2,540000,1840000,280000,46889.0,22361.0,265778.0,155250,0
8,2023,Config8,0,1,1,4,14,2,231525.0,289000,235400.0,289000,289000,289000,855667.0,634666.2,600000,1840000,280000,70333.5,33541.5,398667.0,155250,0
9,2023,Config9,0,2,1,4,14,2,47250.0,289000,228700.0,289000,289000,289000,838667.0,725332.7999999999,600000,1840000,280000,93778.0,44722.0,531556.0,155250,0
10,2023,Config10,1,1,1,4,14,2,231525.0,289000,235400.0,289000,289000,289000,855667.0,725332.7999999999,540000,1840000,280000,70333.5,33541.5,398667.0,155250,0
11,2023,Config11,1,2,1,4,14,2,47250.0,289000,228700.0,289000,289000,289000,838667.0,815999.3999999999,540000,1840000,280000,93778.0,44722.0,531556.0,155250,0
0,2024,Config0,0,0,0,4,14,2,945000.0,289000,289000.0,289000,289000,289000,906667.0,453333.0,600000,1840000,280000,0.0,0.0,0.0,0,0
1,2024,Config1,1,0,0,4,14,2,945000.0,289000,289000.0,289000,289000,289000,906667.0,543999.6,540000,1840000,280000,0.0,0.0,0.0,0,0
2,2024,Config2,0,1,0,4,14,2,760725.0,289000,282300.0,289000,289000,289000,889667.0,543999.6,600000,1840000,280000,23444.5,11180.5,132889.0,0,0
3,2024,Config3,0,2,0,4,14,2,576450.0,289000,275600.0,289000,289000,289000,872667.0,634666.2,600000,1840000,280000,46889.0,22361.0,265778.0,0,0
4,2024,Config4,0,0,1,4,14,2,415800.0,289000,242100.0,289000,289000,289000,872667.0,543999.6,600000,1840000,280000,46889.0,22361.0,265778.0,155250,0
5,2024,Config5,1,1,0,4,14,2,760725.0,289000,282300.0,289000,289000,289000,889667.0,634666.2,540000,1840000,280000,23444.5,11180.5,132889.0,0,0
6,2024,Config6,1,2,0,4,14,2,576450.0,289000,275600.0,289000,289000,289000,872667.0,725332.7999999999,540000,1840000,280000,46889.0,22361.0,265778.0,0,0
7,2024,Config7,1,0,1,4,14,2,415800.0,289000,242100.0,289000,289000,289000,872667.0,634666.2,540000,1840000,280000,46889.0,22361.0,265778.0,155250,0
8,2024,Config8,0,1,1,4,14,2,231525.0,289000,235400.0,289000,289000,289000,855667.0,634666.2,600000,1840000,280000,70333.5,33541.5,398667.0,155250,0
9,2024,Config9,0,2,1,4,14,2,47250.0,289000,228700.0,289000,289000,289000,838667.0,725332.7999999999,600000,1840000,280000,93778.0,44722.0,531556.0,155250,0
10,2024,Config10,1,1,1,4,14,2,231525.0,289000,235400.0,289000,289000,289000,855667.0,725332.7999999999,540000,1840000,280000,70333.5,33541.5,398667.0,155250,0
11,2024,Config11,1,2,1,4,14,2,47250.0,289000,228700.0,289000,289000,289000,838667.0,815999.3999999999,540000,1840000,280000,93778.0,44722.0,531556.0,155250,0
0,2025,Config0,0,0,0,4,14,2,945000.0,289000,289000.0,289000,289000,289000,906667.0,453333.0,600000,1840000,280000,0.0,0.0,0.0,0,0
1,2025,Config1,1,0,0,4,14,2,945000.0,289000,289000.0,289000,289000,289000,906667.0,543999.6,540000,1840000,280000,0.0,0.0,0.0,0,0
2,2025,Config2,0,1,0,4,14,2,760725.0,289000,282300.0,289000,289000,289000,889667.0,543999.6,600000,1840000,280000,23444.5,11180.5,132889.0,0,0
3,2025,Config3,0,2,0,4,14,2,576450.0,289000,275600.0,289000,289000,289000,872667.0,634666.2,600000,1840000,280000,46889.0,22361.0,265778.0,0,0
4,2025,Config4,0,0,1,4,14,2,415800.0,289000,242100.0,289000,289000,289000,872667.0,543999.6,600000,1840000,280000,46889.0,22361.0,265778.0,155250,0
5,2025,Config5,1,1,0,4,14,2,760725.0,289000,282300.0,289000,289000,289000,889667.0,634666.2,540000,1840000,280000,23444.5,11180.5,132889.0,0,0
6,2025,Config6,1,2,0,4,14,2,576450.0,289000,275600.0,289000,289000,289000,872667.0,725332.7999999999,540000,1840000,280000,46889.0,22361.0,265778.0,0,0
7,2025,Config7,1,0,1,4,14,2,415800.0,289000,242100.0,289000,289000,289000,872667.0,634666.2,540000,1840000,280000,46889.0,22361.0,265778.0,155250,0
8,2025,Config8,0,1,1,4,14,2,231525.0,289000,235400.0,289000,289000,289000,855667.0,634666.2,600000,1840000,280000,70333.5,33541.5,398667.0,155250,0
9,2025,Config9,0,2,1,4,14,2,47250.0,289000,228700.0,289000,289000,289000,838667.0,725332.7999999999,600000,1840000,280000,93778.0,44722.0,531556.0,155250,0
10,2025,Config10,1,1,1,4,14,2,231525.0,289000,235400.0,289000,289000,289000,855667.0,725332.7999999999,540000,1840000,280000,70333.5,33541.5,398667.0,155250,0
11,2025,Config11,1,2,1,4,14,2,47250.0,289000,228700.0,289000,289000,289000,838667.0,815999.3999999999,540000,1840000,280000,93778.0,44722.0,531556.0,155250,0
0,2026,Config0,0,0,0,4,14,2,945000.0,289000,289000.0,289000,289000,289000,906667.0,453333.0,600000,1840000,280000,0.0,0.0,0.0,0,0
1,2026,Config1,1,0,0,4,14,2,945000.0,289000,289000.0,289000,289000,289000,906667.0,543999.6,540000,1840000,280000,0.0,0.0,0.0,0,0
2,2026,Config2,0,1,0,4,14,2,760725.0,289000,282300.0,289000,289000,289000,889667.0,543999.6,600000,1840000,280000,23444.5,11180.5,132889.0,0,0
3,2026,Config3,0,2,0,4,14,2,576450.0,289000,275600.0,289000,289000,289000,872667.0,634666.2,600000,1840000,280000,46889.0,22361.0,265778.0,0,0
4,2026,Config4,0,0,1,4,14,2,415800.0,289000,242100.0,289000,289000,289000,872667.0,543999.6,600000,1840000,280000,46889.0,22361.0,265778.0,155250,0
5,2026,Config5,1,1,0,4,14,2,760725.0,289000,282300.0,289000,289000,289000,889667.0,634666.2,540000,1840000,280000,23444.5,11180.5,132889.0,0,0
6,2026,Config6,1,2,0,4,14,2,576450.0,289000,275600.0,289000,289000,289000,872667.0,725332.7999999999,540000,1840000,280000,46889.0,22361.0,265778.0,0,0
7,2026,Config7,1,0,1,4,14,2,415800.0,289000,242100.0,289000,289000,289000,872667.0,634666.2,540000,1840000,280000,46889.0,22361.0,265778.0,155250,0
8,2026,Config8,0,1,1,4,14,2,231525.0,289000,235400.0,289000,289000,289000,855667.0,634666.2,600000,1840000,280000,70333.5,33541.5,398667.0,155250,0
9,2026,Config9,0,2,1,4,14,2,47250.0,289000,228700.0,289000,289000,289000,838667.0,725332.7999999999,600000,1840000,280000,93778.0,44722.0,531556.0,155250,0
10,2026,Config10,1,1,1,4,14,2,231525.0,289000,235400.0,289000,289000,289000,855667.0,725332.7999999999,540000,1840000,280000,70333.5,33541.5,398667.0,155250,0
11,2026,Config11,1,2,1,4,14,2,47250.0,289000,228700.0,289000,289000,289000,838667.0,815999.3999999999,540000,1840000,280000,93778.0,44722.0,531556.0,155250,0
0,2027,Config0,0,0,0,4,14,2,945000.0,289000,289000.0,289000,289000,289000,906667.0,453333.0,600000,1840000,280000,0.0,0.0,0.0,0,0
1,2027,Config1,1,0,0,4,14,2,945000.0,289000,289000.0,289000,289000,289000,906667.0,543999.6,540000,1840000,280000,0.0,0.0,0.0,0,0
2,2027,Config2,0,1,0,4,14,2,760725.0,289000,282300.0,289000,289000,289000,889667.0,543999.6,600000,1840000,280000,23444.5,11180.5,132889.0,0,0
3,2027,Config3,0,2,0,4,14,2,576450.0,289000,275600.0,289000,289000,289000,872667.0,634666.2,600000,1840000,280000,46889.0,22361.0,265778.0,0,0
4,2027,Config4,0,0,1,4,14,2,415800.0,289000,242100.0,289000,289000,289000,872667.0,543999.6,600000,1840000,280000,46889.0,22361.0,265778.0,155250,0
5,2027,Config5,1,1,0,4,14,2,760725.0,289000,282300.0,289000,289000,289000,889667.0,634666.2,540000,1840000,280000,23444.5,11180.5,132889.0,0,0
6,2027,Config6,1,2,0,4,14,2,576450.0,289000,275600.0,289000,289000,289000,872667.0,725332.7999999999,540000,1840000,280000,46889.0,22361.0,265778.0,0,0
7,2027,Config7,1,0,1,4,14,2,415800.0,289000,242100.0,289000,289000,289000,872667.0,634666.2,540000,1840000,280000,46889.0,22361.0,265778.0,155250,0
8,2027,Config8,0,1,1,4,14,2,231525.0,289000,235400.0,289000,289000,289000,855667.0,634666.2,600000,1840000,280000,70333.5,33541.5,398667.0,155250,0
9,2027,Config9,0,2,1,4,14,2,47250.0,289000,228700.0,289000,289000,289000,838667.0,725332.7999999999,600000,1840000,280000,93778.0,44722.0,531556.0,155250,0
10,2027,Config10,1,1,1,4,14,2,231525.0,289000,235400.0,289000,289000,289000,855667.0,725332.7999999999,540000,1840000,280000,70333.5,33541.5,398667.0,155250,0
11,2027,Config11,1,2,1,4,14,2,47250.0,289000,228700.0,289000,289000,289000,838667.0,815999.3999999999,540000,1840000,280000,93778.0,44722.0,531556.0,155250,0
0,2028,Config0,0,0,0,4,14,2,945000.0,289000,289000.0,289000,289000,289000,906667.0,453333.0,600000,1840000,280000,0.0,0.0,0.0,0,0
1,2028,Config1,1,0,0,4,14,2,945000.0,289000,289000.0,289000,289000,289000,906667.0,543999.6,540000,1840000,280000,0.0,0.0,0.0,0,0
2,2028,Config2,0,1,0,4,14,2,760725.0,289000,282300.0,289000,289000,289000,889667.0,543999.6,600000,1840000,280000,23444.5,11180.5,132889.0,0,0
3,2028,Config3,0,2,0,4,14,2,576450.0,289000,275600.0,289000,289000,289000,872667.0,634666.2,600000,1840000,280000,46889.0,22361.0,265778.0,0,0
4,2028,Config4,0,0,1,4,14,2,415800.0,289000,242100.0,289000,289000,289000,872667.0,543999.6,600000,1840000,280000,46889.0,22361.0,265778.0,155250,0
5,2028,Config5,1,1,0,4,14,2,760725.0,289000,282300.0,289000,289000,289000,889667.0,634666.2,540000,1840000,280000,23444.5,11180.5,132889.0,0,0
6,2028,Config6,1,2,0,4,14,2,576450.0,289000,275600.0,289000,289000,289000,872667.0,725332.7999999999,540000,1840000,280000,46889.0,22361.0,265778.0,0,0
7,2028,Config7,1,0,1,4,14,2,415800.0,289000,242100.0,289000,289000,289000,872667.0,634666.2,540000,1840000,280000,46889.0,22361.0,265778.0,155250,0
8,2028,Config8,0,1,1,4,14,2,231525.0,289000,235400.0,289000,289000,289000,855667.0,634666.2,600000,1840000,280000,70333.5,33541.5,398667.0,155250,0
9,2028,Config9,0,2,1,4,14,2,47250.0,289000,228700.0,289000,289000,289000,838667.0,725332.7999999999,600000,1840000,280000,93778.0,44722.0,531556.0,155250,0
10,2028,Config10,1,1,1,4,14,2,231525.0,289000,235400.0,289000,289000,289000,855667.0,725332.7999999999,540000,1840000,280000,70333.5,33541.5,398667.0,155250,0
11,2028,Config11,1,2,1,4,14,2,47250.0,289000,228700.0,289000,289000,289000,838667.0,815999.3999999999,540000,1840000,280000,93778.0,44722.0,531556.0,155250,0
0,2029,Config0,0,0,0,4,14,2,945000.0,289000,289000.0,289000,289000,289000,906667.0,453333.0,600000,1840000,280000,0.0,0.0,0.0,0,0
1,2029,Config1,1,0,0,4,14,2,945000.0,289000,289000.0,289000,289000,289000,906667.0,543999.6,540000,1840000,280000,0.0,0.0,0.0,0,0
2,2029,Config2,0,1,0,4,14,2,760725.0,289000,282300.0,289000,289000,289000,889667.0,543999.6,600000,1840000,280000,23444.5,11180.5,132889.0,0,0
3,2029,Config3,0,2,0,4,14,2,576450.0,289000,275600.0,289000,289000,289000,872667.0,634666.2,600000,1840000,280000,46889.0,22361.0,265778.0,0,0
4,2029,Config4,0,0,1,4,14,2,415800.0,289000,242100.0,289000,289000,289000,872667.0,543999.6,600000,1840000,280000,46889.0,22361.0,265778.0,155250,0
5,2029,Config5,1,1,0,4,14,2,760725.0,289000,282300.0,289000,289000,289000,889667.0,634666.2,540000,1840000,280000,23444.5,11180.5,132889.0,0,0
6,2029,Config6,1,2,0,4,14,2,576450.0,289000,275600.0,289000,289000,289000,872667.0,725332.7999999999,540000,1840000,280000,46889.0,22361.0,265778.0,0,0
7,2029,Config7,1,0,1,4,14,2,415800.0,289000,242100.0,289000,289000,289000,872667.0,634666.2,540000,1840000,280000,46889.0,22361.0,265778.0,155250,0
8,2029,Config8,0,1,1,4,14,2,231525.0,289000,235400.0,289000,289000,289000,855667.0,634666.2,600000,1840000,280000,70333.5,33541.5,398667.0,155250,0
9,2029,Config9,0,2,1,4,14,2,47250.0,289000,228700.0,289000,289000,289000,838667.0,725332.7999999999,600000,1840000,280000,93778.0,44722.0,531556.0,155250,0
10,2029,Config10,1,1,1,4,14,2,231525.0,289000,235400.0,289000,289000,289000,855667.0,725332.7999999999,540000,1840000,280000,70333.5,33541.5,398667.0,155250,0
11,2029,Config11,1,2,1,4,14,2,47250.0,289000,228700.0,289000,289000,289000,838667.0,815999.3999999999,540000,1840000,280000,93778.0,44722.0,531556.0,155250,0
0,2030,Config0,0,0,0,4,14,2,945000.0,289000,289000.0,289000,289000,289000,906667.0,453333.0,600000,1840000,280000,0.0,0.0,0.0,0,0
1,2030,Config1,1,0,0,4,14,2,945000.0,289000,289000.0,289000,289000,289000,906667.0,543999.6,540000,1840000,280000,0.0,0.0,0.0,0,0
2,2030,Config2,0,1,0,4,14,2,760725.0,289000,282300.0,289000,289000,289000,889667.0,543999.6,600000,1840000,280000,23444.5,11180.5,132889.0,0,0
3,2030,Config3,0,2,0,4,14,2,576450.0,289000,275600.0,289000,289000,289000,872667.0,634666.2,600000,1840000,280000,46889.0,22361.0,265778.0,0,0
4,2030,Config4,0,0,1,4,14,2,415800.0,289000,242100.0,289000,289000,289000,872667.0,543999.6,600000,1840000,280000,46889.0,22361.0,265778.0,155250,0
5,2030,Config5,1,1,0,4,14,2,760725.0,289000,282300.0,289000,289000,289000,889667.0,634666.2,540000,1840000,280000,23444.5,11180.5,132889.0,0,0
6,2030,Config6,1,2,0,4,14,2,576450.0,289000,275600.0,289000,289000,289000,872667.0,725332.7999999999,540000,1840000,280000,46889.0,22361.0,265778.0,0,0
7,2030,Config7,1,0,1,4,14,2,415800.0,289000,242100.0,289000,289000,289000,872667.0,634666.2,540000,1840000,280000,46889.0,22361.0,265778.0,155250,0
8,2030,Config8,0,1,1,4,14,2,231525.0,289000,235400.0,289000,289000,289000,855667.0,634666.2,600000,1840000,280000,70333.5,33541.5,398667.0,155250,0
9,2030,Config9,0,2,1,4,14,2,47250.0,289000,228700.0,289000,289000,289000,838667.0,725332.7999999999,600000,1840000,280000,93778.0,44722.0,531556.0,155250,0
10,2030,Config10,1,1,1,4,14,2,231525.0,289000,235400.0,289000,289000,289000,855667.0,725332.7999999999,540000,1840000,280000,70333.5,33541.5,398667.0,155250,0
11,2030,Config11,1,2,1,4,14,2,47250.0,289000,228700.0,289000,289000,289000,838667.0,815999.3999999999,540000,1840000,280000,93778.0,44722.0,531556.0,155250,0
0,2031,Config0,0,0,0,4,14,2,945000.0,289000,289000.0,289000,289000,289000,906667.0,453333.0,600000,1840000,280000,0.0,0.0,0.0,0,0
1,2031,Config1,1,0,0,4,14,2,945000.0,289000,289000.0,289000,289000,289000,906667.0,543999.6,540000,1840000,280000,0.0,0.0,0.0,0,0
2,2031,Config2,0,1,0,4,14,2,760725.0,289000,282300.0,289000,289000,289000,889667.0,543999.6,600000,1840000,280000,23444.5,11180.5,132889.0,0,0
3,2031,Config3,0,2,0,4,14,2,576450.0,289000,275600.0,289000,289000,289000,872667.0,634666.2,600000,1840000,280000,46889.0,22361.0,265778.0,0,0
4,2031,Config4,0,0,1,4,14,2,415800.0,289000,242100.0,289000,289000,289000,872667.0,543999.6,600000,1840000,280000,46889.0,22361.0,265778.0,155250,0
5,2031,Config5,1,1,0,4,14,2,760725.0,289000,282300.0,289000,289000,289000,889667.0,634666.2,540000,1840000,280000,23444.5,11180.5,132889.0,0,0
6,2031,Config6,1,2,0,4,14,2,576450.0,289000,275600.0,289000,289000,289000,872667.0,725332.7999999999,540000,1840000,280000,46889.0,22361.0,265778.0,0,0
