,year,config,Berth,Navi,Moni,NaviCrew,EngiCrew,Cook,crew_cost,store_cost,maintenance_cost,insurance_cost,general_cost,dock_cost,material_cost,integrate_cost,port_call,fuel_cost_ME,fuel_cost_AE,SCC_Capex,SCC_Opex,SCC_Personal,Mnt_in_port,subsidy
7,2031,Config7,1,0,1,4,14,2,415800.0,289000,242100.0,289000,289000,289000,872667.0,634666.2,540000,1840000,280000,46889.0,22361.0,265778.0,155250,0
8,2031,Config8,0,1,1,4,14,2,231525.0,289000,235400.0,289000,289000,289000,855667.0,634666.2,600000,1840000,280000,70333.5,33541.5,398667.0,155250,0
9,2031,Config9,0,2,1,4,14,2,47250.0,289000,228700.0,289000,289000,289000,838667.0,725332.7999999999,600000,1840000,280000,93778.0,44722.0,531556.0,155250,0
10,2031,Config10,1,1,1,4,14,2,231525.0,289000,235400.0,289000,289000,289000,855667.0,725332.7999999999,540000,1840000,280000,70333.5,33541.5,398667.0,155250,0
11,2031,Config11,1,2,1,4,14,2,47250.0,289000,228700.0,289000,289000,289000,838667.0,815999.3999999999,540000,1840000,280000,93778.0,44722.0,531556.0,155250,0
0,2032,Config0,0,0,0,4,14,2,945000.0,289000,289000.0,289000,289000,289000,906667.0,453333.0,600000,1840000,280000,0.0,0.0,0.0,0,0
1,2032,Config1,1,0,0,4,14,2,945000.0,289000,289000.0,289000,289000,289000,906667.0,543999.6,540000,1840000,280000,0.0,0.0,0.0,0,0
2,2032,Config2,0,1,0,4,14,2,760725.0,289000,282300.0,289000,289000,289000,889667.0,543999.6,600000,1840000,280000,23444.5,11180.5,132889.0,0,0
3,2032,Config3,0,2,0,4,14,2,576450.0,289000,275600.0,289000,289000,289000,872667.0,634666.2,600000,1840000,280000,46889.0,22361.0,265778.0,0,0
4,2032,Config4,0,0,1,4,14,2,415800.0,289000,242100.0,289000,289000,289000,872667.0,543999.6,600000,1840000,280000,46889.0,22361.0,265778.0,155250,0
5,2032,Config5,1,1,0,4,14,2,760725.0,289000,282300.0,289000,289000,289000,889667.0,634666.2,540000,1840000,280000,23444.5,11180.5,132889.0,0,0
6,2032,Config6,1,2,0,4,14,2,576450.0,289000,275600.0,289000,289000,289000,872667.0,725332.7999999999,540000,1840000,280000,46889.0,22361.0,265778.0,0,0
7,2032,Config7,1,0,1,4,14,2,415800.0,289000,242100.0,289000,289000,289000,872667.0,634666.2,540000,1840000,280000,46889.0,22361.0,265778.0,155250,0
8,2032,Config8,0,1,1,4,14,2,231525.0,289000,235400.0,289000,289000,289000,855667.0,634666.2,600000,1840000,280000,70333.5,33541.5,398667.0,155250,0
9,2032,Config9,0,2,1,4,14,2,47250.0,289000,228700.0,289000,289000,289000,838667.0,725332.7999999999,600000,1840000,280000,93778.0,44722.0,531556.0,155250,0
10,2032,Config10,1,1,1,4,14,2,231525.0,289000,235400.0,289000,289000,289000,855667.0,725332.7999999999,540000,1840000,280000,70333.5,33541.5,398667.0,155250,0
11,2032,Config11,1,2,1,4,14,2,47250.0,289000,228700.0,289000,289000,289000,838667.0,815999.3999999999,540000,1840000,280000,93778.0,44722.0,531556.0,155250,0
0,2033,Config0,0,0,0,4,14,2,945000.0,289000,289000.0,289000,289000,289000,906667.0,453333.0,600000,1840000,280000,0.0,0.0,0.0,0,0
1,2033,Config1,1,0,0,4,14,2,945000.0,289000,289000.0,289000,289000,289000,906667.0,543999.6,540000,1840000,280000,0.0,0.0,0.0,0,0
2,2033,Config2,0,1,0,4,14,2,760725.0,289000,282300.0,289000,289000,289000,889667.0,543999.6,600000,1840000,280000,23444.5,11180.5,132889.0,0,0
3,2033,Config3,0,2,0,4,14,2,576450.0,289000,275600.0,289000,289000,289000,872667.0,634666.2,600000,1840000,280000,46889.0,22361.0,265778.0,0,0
4,2033,Config4,0,0,1,4,14,2,415800.0,289000,242100.0,289000,289000,289000,872667.0,543999.6,600000,1840000,280000,46889.0,22361.0,265778.0,155250,0
5,2033,Config5,1,1,0,4,14,2,760725.0,289000,282300.0,289000,289000,289000,889667.0,634666.2,540000,1840000,280000,23444.5,11180.5,132889.0,0,0
6,2033,Config6,1,2,0,4,14,2,576450.0,289000,275600.0,289000,289000,289000,872667.0,725332.7999999999,540000,1840000,280000,46889.0,22361.0,265778.0,0,0
7,2033,Config7,1,0,1,4,14,2,415800.0,289000,242100.0,289000,289000,289000,872667.0,634666.2,540000,1840000,280000,46889.0,22361.0,265778.0,155250,0
8,2033,Config8,0,1,1,4,14,2,231525.0,289000,235400.0,289000,289000,289000,855667.0,634666.2,600000,1840000,280000,70333.5,33541.5,398667.0,155250,0
9,2033,Config9,0,2,1,4,14,2,47250.0,289000,228700.0,289000,289000,289000,838667.0,725332.7999999999,600000,1840000,280000,93778.0,44722.0,531556.0,155250,0
10,2033,Config10,1,1,1,4,14,2,231525.0,289000,235400.0,289000,289000,289000,855667.0,725332.7999999999,540000,1840000,280000,70333.5,33541.5,398667.0,155250,0
11,2033,Config11,1,2,1,4,14,2,47250.0,289000,228700.0,289000,289000,289000,838667.0,815999.3999999999,540000,1840000,280000,93778.0,44722.0,531556.0,155250,0
0,2034,Config0,0,0,0,4,14,2,945000.0,289000,289000.0,289000,289000,289000,906667.0,453333.0,600000,1840000,280000,0.0,0.0,0.0,0,0
1,2034,Config1,1,0,0,4,14,2,945000.0,289000,289000.0,289000,289000,289000,906667.0,543999.6,540000,1840000,280000,0.0,0.0,0.0,0,0
2,2034,Config2,0,1,0,4,14,2,760725.0,289000,282300.0,289000,289000,289000,889667.0,543999.6,600000,1840000,280000,23444.5,11180.5,132889.0,0,0
3,2034,Config3,0,2,0,4,14,2,576450.0,289000,275600.0,289000,289000,289000,872667.0,634666.2,600000,1840000,280000,46889.0,22361.0,265778.0,0,0
4,2034,Config4,0,0,1,4,14,2,415800.0,289000,242100.0,289000,289000,289000,872667.0,543999.6,600000,1840000,280000,46889.0,22361.0,265778.0,155250,0
5,2034,Config5,1,1,0,4,14,2,760725.0,289000,282300.0,289000,289000,289000,889667.0,634666.2,540000,1840000,280000,23444.5,11180.5,132889.0,0,0
6,2034,Config6,1,2,0,4,14,2,576450.0,289000,275600.0,289000,289000,289000,872667.0,725332.7999999999,540000,1840000,280000,46889.0,22361.0,265778.0,0,0
7,2034,Config7,1,0,1,4,14,2,415800.0,289000,242100.0,289000,289000,289000,872667.0,634666.2,540000,1840000,280000,46889.0,22361.0,265778.0,155250,0
8,2034,Config8,0,1,1,4,14,2,231525.0,289000,235400.0,289000,289000,289000,855667.0,634666.2,600000,1840000,280000,70333.5,33541.5,398667.0,155250,0
9,2034,Config9,0,2,1,4,14,2,47250.0,289000,228700.0,289000,289000,289000,838667.0,725332.7999999999,600000,1840000,280000,93778.0,44722.0,531556.0,155250,0
10,2034,Config10,1,1,1,4,14,2,231525.0,289000,235400.0,289000,289000,289000,855667.0,725332.7999999999,540000,1840000,280000,70333.5,33541.5,398667.0,155250,0
11,2034,Config11,1,2,1,4,14,2,47250.0,289000,228700.0,289000,289000,289000,838667.0,815999.3999999999,540000,1840000,280000,93778.0,44722.0,531556.0,155250,0
0,2035,Config0,0,0,0,4,14,2,945000.0,289000,289000.0,289000,289000,289000,906667.0,453333.0,600000,1840000,280000,0.0,0.0,0.0,0,0
1,2035,Config1,1,0,0,4,14,2,945000.0,289000,289000.0,289000,289000,289000,906667.0,543999.6,540000,1840000,280000,0.0,0.0,0.0,0,0
2,2035,Config2,0,1,0,4,14,2,760725.0,289000,282300.0,289000,289000,289000,889667.0,543999.6,600000,1840000,280000,23444.5,11180.5,132889.0,0,0
3,2035,Config3,0,2,0,4,14,2,576450.0,289000,275600.0,289000,289000,289000,872667.0,634666.2,600000,1840000,280000,46889.0,22361.0,265778.0,0,0
4,2035,Config4,0,0,1,4,14,2,415800.0,289000,242100.0,289000,289000,289000,872667.0,543999.6,600000,1840000,280000,46889.0,22361.0,265778.0,155250,0
5,2035,Config5,1,1,0,4,14,2,760725.0,289000,282300.0,289000,289000,289000,889667.0,634666.2,540000,1840000,280000,23444.5,11180.5,132889.0,0,0
6,2035,Config6,1,2,0,4,14,2,576450.0,289000,275600.0,289000,289000,289000,872667.0,725332.7999999999,540000,1840000,280000,46889.0,22361.0,265778.0,0,0
7,2035,Config7,1,0,1,4,14,2,415800.0,289000,242100.0,289000,289000,289000,872667.0,634666.2,540000,1840000,280000,46889.0,22361.0,265778.0,155250,0
8,2035,Config8,0,1,1,4,14,2,231525.0,289000,235400.0,289000,289000,289000,855667.0,634666.2,600000,1840000,280000,70333.5,33541.5,398667.0,155250,0
9,2035,Config9,0,2,1,4,14,2,47250.0,289000,228700.0,289000,289000,289000,838667.0,725332.7999999999,600000,1840000,280000,93778.0,44722.0,531556.0,155250,0
10,2035,Config10,1,1,1,4,14,2,231525.0,289000,235400.0,289000,289000,289000,855667.0,725332.7999999999,540000,1840000,280000,70333.5,33541.5,398667.0,155250,0
11,2035,Config11,1,2,1,4,14,2,47250.0,289000,228700.0,289000,289000,289000,838667.0,815999.3999999999,540000,1840000,280000,93778.0,44722.0,531556.0,155250,0
0,2036,Config0,0,0,0,4,14,2,945000.0,289000,289000.0,289000,289000,289000,906667.0,453333.0,600000,1840000,280000,0.0,0.0,0.0,0,0
1,2036,Config1,1,0,0,4,14,2,945000.0,289000,289000.0,289000,289000,289000,906667.0,543999.6,540000,1840000,280000,0.0,0.0,0.0,0,0
2,2036,Config2,0,1,0,4,14,2,760725.0,289000,282300.0,289000,289000,289000,889667.0,543999.6,600000,1840000,280000,23444.5,11180.5,132889.0,0,0
3,2036,Config3,0,2,0,4,14,2,576450.0,289000,275600.0,289000,289000,289000,872667.0,634666.2,600000,1840000,280000,46889.0,22361.0,265778.0,0,0
4,2036,Config4,0,0,1,4,14,2,415800.0,289000,242100.0,289000,289000,289000,872667.0,543999.6,600000,1840000,280000,46889.0,22361.0,265778.0,155250,0
5,2036,Config5,1,1,0,4,14,2,760725.0,289000,282300.0,289000,289000,289000,889667.0,634666.2,540000,1840000,280000,23444.5,11180.5,132889.0,0,0
6,2036,Config6,1,2,0,4,14,2,576450.0,289000,275600.0,289000,289000,289000,872667.0,725332.7999999999,540000,1840000,280000,46889.0,22361.0,265778.0,0,0
7,2036,Config7,1,0,1,4,14,2,415800.0,289000,242100.0,289000,289000,289000,872667.0,634666.2,540000,1840000,280000,46889.0,22361.0,265778.0,155250,0
8,2036,Config8,0,1,1,4,14,2,231525.0,289000,235400.0,289000,289000,289000,855667.0,634666.2,600000,1840000,280000,70333.5,33541.5,398667.0,155250,0
9,2036,Config9,0,2,1,4,14,2,47250.0,289000,228700.0,289000,289000,289000,838667.0,725332.7999999999,600000,1840000,280000,93778.0,44722.0,531556.0,155250,0
10,2036,Config10,1,1,1,4,14,2,231525.0,289000,235400.0,289000,289000,289000,855667.0,725332.7999999999,540000,1840000,280000,70333.5,33541.5,398667.0,155250,0
11,2036,Config11,1,2,1,4,14,2,47250.0,289000,228700.0,289000,289000,289000,838667.0,815999.3999999999,540000,1840000,280000,93778.0,44722.0,531556.0,155250,0
0,2037,Config0,0,0,0,4,14,2,945000.0,289000,289000.0,289000,289000,289000,906667.0,453333.0,600000,1840000,280000,0.0,0.0,0.0,0,0
1,2037,Config1,1,0,0,4,14,2,945000.0,289000,289000.0,289000,289000,289000,906667.0,543999.6,540000,1840000,280000,0.0,0.0,0.0,0,0
2,2037,Config2,0,1,0,4,14,2,760725.0,289000,282300.0,289000,289000,289000,889667.0,543999.6,600000,1840000,280000,23444.5,11180.5,132889.0,0,0
3,2037,Config3,0,2,0,4,14,2,576450.0,289000,275600.0,289000,289000,289000,872667.0,634666.2,600000,1840000,280000,46889.0,22361.0,265778.0,0,0
4,2037,Config4,0,0,1,4,14,2,415800.0,289000,242100.0,289000,289000,289000,872667.0,543999.6,600000,1840000,280000,46889.0,22361.0,265778.0,155250,0
5,2037,Config5,1,1,0,4,14,2,760725.0,289000,282300.0,289000,289000,289000,889667.0,634666.2,540000,1840000,280000,23444.5,11180.5,132889.0,0,0
6,2037,Config6,1,2,0,4,14,2,576450.0,289000,275600.0,289000,289000,289000,872667.0,725332.7999999999,540000,1840000,280000,46889.0,22361.0,265778.0,0,0
7,2037,Config7,1,0,1,4,14,2,415800.0,289000,242100.0,289000,289000,289000,872667.0,634666.2,540000,1840000,280000,46889.0,22361.0,265778.0,155250,0
8,2037,Config8,0,1,1,4,14,2,231525.0,289000,235400.0,289000,289000,289000,855667.0,634666.2,600000,1840000,280000,70333.5,33541.5,398667.0,155250,0
9,2037,Config9,0,2,1,4,14,2,47250.0,289000,228700.0,289000,289000,289000,838667.0,725332.7999999999,600000,1840000,280000,93778.0,44722.0,531556.0,155250,0
10,2037,Config10,1,1,1,4,14,2,231525.0,289000,235400.0,289000,289000,289000,855667.0,725332.7999999999,540000,1840000,280000,70333.5,33541.5,398667.0,155250,0
11,2037,Config11,1,2,1,4,14,2,47250.0,289000,228700.0,289000,289000,289000,838667.0,815999.3999999999,540000,1840000,280000,93778.0,44722.0,531556.0,155250,0
0,2038,Config0,0,0,0,4,14,2,945000.0,289000,289000.0,289000,289000,289000,906667.0,453333.0,600000,1840000,280000,0.0,0.0,0.0,0,0
1,2038,Config1,1,0,0,4,14,2,945000.0,289000,289000.0,289000,289000,289000,906667.0,543999.6,540000,1840000,280000,0.0,0.0,0.0,0,0
2,2038,Config2,0,1,0,4,14,2,760725.0,289000,282300.0,289000,289000,289000,889667.0,543999.6,600000,1840000,280000,23444.5,11180.5,132889.0,0,0
3,2038,Config3,0,2,0,4,14,2,576450.0,289000,275600.0,289000,289000,289000,872667.0,634666.2,600000,1840000,280000,46889.0,22361.0,265778.0,0,0
4,2038,Config4,0,0,1,4,14,2,415800.0,289000,242100.0,289000,289000,289000,872667.0,543999.6,600000,1840000,280000,46889.0,22361.0,265778.0,155250,0
5,2038,Config5,1,1,0,4,14,2,760725.0,289000,282300.0,289000,289000,289000,889667.0,634666.2,540000,1840000,280000,23444.5,11180.5,132889.0,0,0
6,2038,Config6,1,2,0,4,14,2,576450.0,289000,275600.0,289000,289000,289000,872667.0,725332.7999999999,540000,1840000,280000,46889.0,22361.0,265778.0,0,0
7,2038,Config7,1,0,1,4,14,2,415800.0,289000,242100.0,289000,289000,289000,872667.0,634666.2,540000,1840000,280000,46889.0,22361.0,265778.0,155250,0
8,2038,Config8,0,1,1,4,14,2,231525.0,289000,235400.0,289000,289000,289000,855667.0,634666.2,600000,1840000,280000,70333.5,33541.5,398667.0,155250,0
9,2038,Config9,0,2,1,4,14,2,47250.0,289000,228700.0,289000,289000,289000,838667.0,725332.7999999999,600000,1840000,280000,93778.0,44722.0,531556.0,155250,0
10,2038,Config10,1,1,1,4,14,2,231525.0,289000,235400.0,289000,289000,289000,855667.0,725332.7999999999,540000,1840000,280000,70333.5,33541.5,398667.0,155250,0
11,2038,Config11,1,2,1,4,14,2,47250.0,289000,228700.0,289000,289000,289000,838667.0,815999.3999999999,540000,1840000,280000,93778.0,44722.0,531556.0,155250,0
0,2039,Config0,0,0,0,4,14,2,945000.0,289000,289000.0,289000,289000,289000,906667.0,453333.0,600000,1840000,280000,0.0,0.0,0.0,0,0
1,2039,Config1,1,0,0,4,14,2,945000.0,289000,289000.0,289000,289000,289000,906667.0,543999.6,540000,1840000,280000,0.0,0.0,0.0,0,0
2,2039,Config2,0,1,0,4,14,2,760725.0,289000,282300.0,289000,289000,289000,889667.0,543999.6,600000,1840000,280000,23444.5,11180.5,132889.0,0,0
3,2039,Config3,0,2,0,4,14,2,576450.0,289000,275600.0,289000,289000,289000,872667.0,634666.2,600000,1840000,280000,46889.0,22361.0,265778.0,0,0
4,2039,Config4,0,0,1,4,14,2,415800.0,289000,242100.0,289000,289000,289000,872667.0,543999.6,600000,1840000,280000,46889.0,22361.0,265778.0,155250,0
5,2039,Config5,1,1,0,4,14,2,760725.0,289000,282300.0,289000,289000,289000,889667.0,634666.2,540000,1840000,280000,23444.5,11180.5,132889.0,0,0
6,2039,Config6,1,2,0,4,14,2,576450.0,289000,275600.0,289000,289000,289000,872667.0,725332.7999999999,540000,1840000,280000,46889.0,22361.0,265778.0,0,0
7,2039,Config7,1,0,1,4,14,2,415800.0,289000,242100.0,289000,289000,289000,872667.0,634666.2,540000,1840000,280000,46889.0,22361.0,265778.0,155250,0
8,2039,Config8,0,1,1,4,14,2,231525.0,289000,235400.0,289000,289000,289000,855667.0,634666.2,600000,1840000,280000,70333.5,33541.5,398667.0,155250,0
9,2039,Config9,0,2,1,4,14,2,47250.0,289000,228700.0,289000,289000,289000,838667.0,725332.7999999999,600000,1840000,280000,93778.0,44722.0,531556.0,155250,0
10,2039,Config10,1,1,1,4,14,2,231525.0,289000,235400.0,289000,289000,289000,855667.0,725332.7999999999,540000,1840000,280000,70333.5,33541.5,398667.0,155250,0
11,2039,Config11,1,2,1,4,14,2,47250.0,289000,228700.0,289000,289000,289000,838667.0,815999.3999999999,540000,1840000,280000,93778.0,44722.0,531556.0,155250,0
0,2040,Config0,0,0,0,4,14,2,945000.0,289000,289000.0,289000,289000,289000,906667.0,453333.0,600000,1840000,280000,0.0,0.0,0.0,0,0
1,2040,Config1,1,0,0,4,14,2,945000.0,289000,289000.0,289000,289000,289000,906667.0,543999.6,540000,1840000,280000,0.0,0.0,0.0,0,0
2,2040,Config2,0,1,0,4,14,2,760725.0,289000,282300.0,289000,289000,289000,889667.0,543999.6,600000,1840000,280000,23444.5,11180.5,132889.0,0,0
3,2040,Config3,0,2,0,4,14,2,576450.0,289000,275600.0,289000,289000,289000,872667.0,634666.2,600000,1840000,280000,46889.0,22361.0,265778.0,0,0
4,2040,Config4,0,0,1,4,14,2,415800.0,289000,242100.0,289000,289000,289000,872667.0,543999.6,600000,1840000,280000,46889.0,22361.0,265778.0,155250,0
5,2040,Config5,1,1,0,4,14,2,760725.0,289000,282300.0,289000,289000,289000,889667.0,634666.2,540000,1840000,280000,23444.5,11180.5,132889.0,0,0
6,2040,Config6,1,2,0,4,14,2,576450.0,289000,275600.0,289000,289000,289000,872667.0,725332.7999999999,540000,1840000,280000,46889.0,22361.0,265778.0,0,0
7,2040,Config7,1,0,1,4,14,2,415800.0,289000,242100.0,289000,289000,289000,872667.0,634666.2,540000,1840000,280000,46889.0,22361.0,265778.0,155250,0
8,2040,Config8,0,1,1,4,14,2,231525.0,289000,235400.0,289000,289000,289000,855667.0,634666.2,600000,1840000,280000,70333.5,33541.5,398667.0,155250,0
9,2040,Config9,0,2,1,4,14,2,47250.0,289000,228700.0,289000,289000,289000,838667.0,725332.7999999999,600000,1840000,280000,93778.0,44722.0,531556.0,155250,0
10,2040,Config10,1,1,1,4,14,2,231525.0,289000,235400.0,289000,289000,289000,855667.0,725332.7999999999,540000,1840000,280000,70333.5,33541.5,398667.0,155250,0
11,2040,Config11,1,2,1,4,14,2,47250.0,289000,228700.0,289000,289000,289000,838667.0,815999.3999999999,540000,1840000,280000,93778.0,44722.0,531556.0,155250,0
0,2041,Config0,0,0,0,4,14,2,945000.0,289000,289000.0,289000,289000,289000,906667.0,453333.0,600000,1840000,280000,0.0,0.0,0.0,0,0
1,2041,Config1,1,0,0,4,14,2,945000.0,289000,289000.0,289000,289000,289000,906667.0,543999.6,540000,1840000,280000,0.0,0.0,0.0,0,0
2,2041,Config2,0,1,0,4,14,2,760725.0,289000,282300.0,289000,289000,289000,889667.0,543999.6,600000,1840000,280000,23444.5,11180.5,132889.0,0,0
